iter	Passed	Remaining
717	1593	625
718	1595	623
719	1599	621
720	1602	619
721	1604	617
722	1606	615
723	1609	613
724	1613	611
725	1616	610
726	1619	608
727	1622	606
728	1624	603
729	1626	601
730	1631	600
731	1633	598
732	1635	595
733	1638	593
734	1640	591
735	1644	589
736	1648	588
737	1650	586
738	1654	584
739	1659	583
740	1663	581
741	1666	579
742	1669	577
743	1672	575
744	1675	573
745	1678	571
746	1681	569
747	1683	567
748	1686	565
749	1689	563
750	1691	560
751	1694	558
752	1697	556
753	1699	554
754	1703	552
755	1706	550
756	1708	548
757	1711	546
758	1713	544
759	1716	541
760	1719	539
761	1722	537
762	1724	535
763	1727	533
764	1729	531
765	1732	529
766	1734	526
767	1737	524
768	1739	522
769	1741	520
770	1743	517
771	1746	515
772	1749	513
773	1751	511
774	1754	509
775	1756	507
776	1759	504
777	1761	502
778	1765	500
779	1768	498
780	1771	496
781	1774	494
782	1776	492
783	1780	490
784	1782	488
785	1785	486
786	1787	483
787	1789	481
788	1791	479
789	1794	477
790	1796	474
791	1799	472
792	1801	470
793	1803	468
794	1806	465
795	1809	463
796	1812	461
797	1815	459
798	1817	457
799	1819	454
800	1821	452
801	1824	450
802	1827	448
803	1830	446
804	1832	443
805	1834	441
806	1837	439
807	1840	437
808	1842	435
809	1845	432
810	1847	430
811	1849	428
812	1852	426
813	1855	423
814	1857	421
815	1859	419
816	1862	417
817	1864	414
818	1866	412
819	1869	410
820	1872	408
821	1875	406
822	1877	403
823	1880	401
824	1884	399
825	1886	397
826	1889	395
827	1891	393
828	1894	390
829	1898	388
830	1901	386
831	1904	384
832	1907	382
833	1909	380
834	1912	377
835	1915	375
836	1918	373
837	1921	371
838	1923	369
839	1927	367
840	1930	364
841	1932	362
842	1935	360
843	1938	358
844	1941	356
845	1944	354
846	1947	351
847	1950	349
848	1952	347
849	1955	345
850	1958	342
851	1961	340
852	1963	338
853	1965	336
854	1968	333
855	1972	331
856	1975	329
857	1977	327
858	1980	325
859	1982	322
860	1986	320
861	1989	318
862	1992	316
863	1995	314
864	1997	311
865	2001	309
866	2004	307
867	2007	305
868	2009	302
869	2011	300
870	2013	298
871	2017	296
872	2020	293
873	2022	291
874	2025	289
875	2027	287
876	2031	284
877	2034	282
878	2037	280
879	2039	278
880	2042	275
881	2044	273
882	2048	271
883	2050	269
884	2053	266
885	2055	264
886	2058	262
887	2062	260
888	2065	257
889	2067	255
890	2070	253
891	2072	250
892	2076	248
893	2079	246
894	2082	244
895	2084	241
896	2087	239
897	2089	237
898	2093	235
899	2096	232
900	2099	230
901	2101	228
902	2103	225
903	2107	223
904	2109	221
905	2111	219
906	2114	216
907	2117	214
908	2120	212
909	2123	210
910	2125	207
911	2128	205
912	2130	203
913	2133	200
914	2137	198
915	2140	196
916	2142	193
917	2145	191
918	2147	189
919	2150	187
920	2153	184
921	2155	182
922	2158	180
923	2160	177
924	2162	175
925	2166	173
926	2169	170
927	2172	168
928	2174	166
929	2177	163
930	2180	161
931	2184	159
932	2186	157
933	2189	154
934	2192	152
935	2195	150
936	2198	147
937	2201	145
938	2203	143
